                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71425,                    0.7,                      1,                0.63135,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                0.60117,                   0.85,                      1,                0.57764,             0.00016259,             0.00016259,             0.00016259
                      3,                0.47664,                   0.95,                      1,                0.50488,             0.00024495,             0.00024495,             0.00024495
                      4,                0.34505,                      1,                      1,                0.42651,             0.00032561,             0.00032561,             0.00032561
                      5,                0.23393,                    0.9,                      1,                0.38818,             0.00040458,             0.00040458,             0.00040458
                      6,                0.17292,                   0.95,                      1,                0.36548,             0.00048185,             0.00048185,             0.00048185
                      7,                0.10923,                   0.95,                      1,                0.34888,             0.00055742,             0.00055742,             0.00055742
                      8,                0.08481,                      1,                      1,                0.33667,             0.00063129,             0.00063129,             0.00063129
                      9,                0.08757,                      1,                      1,                0.33667,             0.00065745,             0.00065745,             0.00065745
                     10,                0.05323,                      1,                      1,                0.33984,             0.00065038,             0.00065038,             0.00065038
                     11,                0.04184,                   0.95,                      1,                0.34399,             0.00064331,             0.00064331,             0.00064331
                     12,                0.07708,                      1,                      1,                0.33374,             0.00063625,             0.00063625,             0.00063625
                     13,                0.05431,                      1,                      1,                0.32837,             0.00062918,             0.00062918,             0.00062918
                     14,                0.03633,                      1,                      1,                 0.3269,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0264,                      1,                      1,                 0.3335,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02378,                   0.95,                      1,                0.34106,             0.00060797,             0.00060797,             0.00060797
                     17,                  0.026,                   0.95,                      1,                0.35767,              0.0006009,              0.0006009,              0.0006009
                     18,                0.05314,                   0.95,                      1,                 0.3396,             0.00059383,             0.00059383,             0.00059383
                     19,                0.05964,                      1,                      1,                0.32983,             0.00058677,             0.00058677,             0.00058677
                     20,                0.02292,                      1,                      1,                 0.3252,              0.0005797,              0.0005797,              0.0005797
                     21,                0.08111,                   0.95,                      1,                0.34375,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01049,                   0.95,                      1,                0.35376,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01684,                   0.95,                      1,                0.35889,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01901,                   0.95,                      1,                0.36084,             0.00055142,             0.00055142,             0.00055142
                     25,                0.02094,                   0.95,                      1,                0.36182,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.0415,                   0.95,                      1,                0.36328,             0.00053728,             0.00053728,             0.00053728
