                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2802,                0.71875,                      1,                  1.177,             0.00023382,             0.00023382,             0.00023382
                      2,                0.75076,                0.89732,                      1,                0.95905,             0.00044847,             0.00044847,             0.00044847
                      3,                0.47645,                0.92857,                      1,                0.85366,             0.00063955,             0.00063955,             0.00063955
                      4,                0.32911,                0.95536,                      1,                 0.8245,             0.00060797,             0.00060797,             0.00060797
                      5,                0.31993,                0.95536,                      1,                0.82652,             0.00057263,             0.00057263,             0.00057263
                      6,                0.26254,                0.97321,                      1,                 0.8088,             0.00053728,             0.00053728,             0.00053728
                      7,                0.25295,                0.95982,                      1,                0.80706,             0.00050194,             0.00050194,             0.00050194
                      8,                0.22859,                0.95536,                      1,                0.80162,              0.0004666,              0.0004666,              0.0004666
                      9,                0.19804,                0.95982,                      1,                0.79527,             0.00043126,             0.00043126,             0.00043126
                     10,                0.20244,                0.95982,                      1,                0.79478,             0.00039591,             0.00039591,             0.00039591
                     11,                0.19068,                0.96875,                      1,                0.78962,             0.00036057,             0.00036057,             0.00036057
                     12,                0.20626,                0.96429,                      1,                 0.7929,             0.00032523,             0.00032523,             0.00032523
                     13,                0.20441,                0.96429,                      1,                0.78906,             0.00028988,             0.00028988,             0.00028988
                     14,                0.17295,                0.95982,                      1,                0.79143,             0.00025454,             0.00025454,             0.00025454
                     15,                 0.1824,                0.96875,                      1,                0.78613,              0.0002192,              0.0002192,              0.0002192
                     16,                0.18047,                0.96875,                      1,                0.78453,             0.00018385,             0.00018385,             0.00018385
                     17,                0.17462,                0.96875,                      1,                0.78348,             0.00014851,             0.00014851,             0.00014851
                     18,                0.17736,                0.95982,                      1,                0.78725,             0.00011317,             0.00011317,             0.00011317
                     19,                0.16894,                0.97321,                      1,                0.78278,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.19197,                0.97321,                      1,                0.78362,             4.2483e-05,             4.2483e-05,             4.2483e-05
