                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4927,                 3.0995,                 1.4941,                0.71431,                0.06113,                0.26803,                 0.1434,                 1.4658,                 3.1094,                 1.4749,             0.00036384,             0.00036384,             0.00036384
                      2,                  1.507,                 2.5329,                 1.5445,                0.32295,                0.31093,                0.23753,                0.12221,                 1.6718,                 2.7739,                 1.7297,              0.0007269,              0.0007269,              0.0007269
                      3,                 1.6527,                 2.5543,                 1.6273,                0.39495,                0.31019,                0.26804,                0.12848,                 1.7166,                 2.6717,                 1.7806,              0.0010826,              0.0010826,              0.0010826
                      4,                 1.6497,                 2.5591,                 1.6628,                0.19269,                0.25734,                0.11828,                0.05292,                 1.8658,                 3.0629,                 2.0426,               0.001078,               0.001078,               0.001078
                      5,                 1.6106,                 2.4996,                 1.6397,                0.31747,                0.31099,                0.23246,                0.10043,                  1.904,                 2.6111,                 1.9431,               0.001067,               0.001067,               0.001067
                      6,                 1.6092,                 2.4763,                 1.6631,                 0.2721,                0.31737,                0.21708,                0.10248,                 1.7674,                 2.6721,                 1.8486,               0.001056,               0.001056,               0.001056
                      7,                 1.6034,                 2.3828,                 1.6515,                0.34802,                0.38195,                0.28661,                0.14181,                 1.7331,                 2.3123,                 1.7281,               0.001045,               0.001045,               0.001045
                      8,                 1.5592,                 2.3089,                 1.6109,                0.32326,                0.37736,                0.26284,                0.12912,                 1.7182,                 2.5516,                 1.8083,               0.001034,               0.001034,               0.001034
                      9,                 1.5758,                 2.2658,                 1.6265,                  0.419,                0.40331,                0.37207,                0.20636,                 1.6137,                 2.2046,                 1.6889,               0.001023,               0.001023,               0.001023
                     10,                 1.5725,                 2.1672,                 1.5855,                0.42059,                0.42691,                0.39619,                0.21179,                 1.5984,                  2.123,                 1.6337,               0.001012,               0.001012,               0.001012
